dataset,block,grid,h2d_ms,kernel_ms,d2h_ms,total_ms,throughput_pts_s,speedup_seq
g,128.0,7813.0,,,,172.8,5787037.037037036,0.1903935185185185
g,256.0,3907.0,,,,173.5,5763688.760806916,0.18962536023054755
g,512.0,1954.0,,,,179.3,5577244.841048522,0.18349135527049634
m,128.0,782.0,,,,159.6,626566.4160401003,0.010651629072681704
m,256.0,391.0,,,,162.7,614628.1499692686,0.010448678549477567
m,512.0,196.0,,,,160.1,624609.6189881325,0.010618363522798251
p,128.0,79.0,,,,151.1,66181.33686300463,0.0006618133686300464
p,256.0,40.0,,,,151.2,66137.56613756614,0.0006613756613756614
p,512.0,20.0,,,,155.6,64267.35218508998,0.0006426735218508998
