dataset,threads,schedule,chunk,median_ms,speedup
p,16.0,dynamic,64.0,46.061,0.002171034063524457
p,1.0,dynamic,NA,0.735,0.1360544217687075
p,2.0,dynamic,NA,2.634,0.037965072133637055
p,4.0,dynamic,NA,2.561,0.03904724716907458
p,8.0,dynamic,NA,2.501,0.03998400639744103
p,16.0,dynamic,NA,40.891,0.0024455259103470205
p,1.0,static,1.0,0.143,0.6993006993006994
p,2.0,static,1.0,0.874,0.11441647597254005
p,4.0,static,1.0,0.934,0.10706638115631692
p,8.0,static,1.0,1.164,0.08591065292096221
p,16.0,static,1.0,46.509,0.002150121481863725
p,1.0,static,1024.0,0.132,0.7575757575757576
p,2.0,static,1024.0,0.751,0.13315579227696406
p,4.0,static,1024.0,0.778,0.12853470437017994
p,8.0,static,1024.0,0.818,0.12224938875305624
p,16.0,static,1024.0,40.709,0.002456459259623179
p,1.0,static,256.0,0.126,0.7936507936507937
p,2.0,static,256.0,0.866,0.11547344110854504
p,4.0,static,256.0,0.868,0.1152073732718894
p,8.0,static,256.0,0.853,0.1172332942555686
p,16.0,static,256.0,40.977,0.0024403933914146966
p,1.0,static,64.0,0.138,0.7246376811594203
p,2.0,static,64.0,0.882,0.11337868480725624
p,4.0,static,64.0,0.689,0.1451378809869376
p,8.0,static,64.0,0.955,0.10471204188481677
p,16.0,static,64.0,46.164,0.002166190104843601
p,1.0,static,NA,0.14,0.7142857142857143
p,2.0,static,NA,0.953,0.10493179433368312
p,4.0,static,NA,1.075,0.0930232558139535
p,8.0,static,NA,0.929,0.10764262648008611
p,16.0,static,NA,45.384,0.002203419707385863
