dataset,modo,threads,schedule,chunk,rep,iters,sse_final,time_ms,median_ms
p,omp,4,dynamic,NA,4,3,3307.377030,2.564,NA
p,omp,4,dynamic,NA,5,3,3307.377030,2.926,NA
p,omp,4,dynamic,NA,0,NA,NA,NA,2.564
p,omp,8,dynamic,NA,1,3,3307.377030,2.116,NA
p,omp,8,dynamic,NA,2,3,3307.377030,2.476,NA
p,omp,8,dynamic,NA,3,3,3307.377030,2.392,NA
p,omp,8,dynamic,NA,4,3,3307.377030,2.145,NA
p,omp,8,dynamic,NA,5,3,3307.377030,2.262,NA
p,omp,8,dynamic,NA,0,NA,NA,NA,2.262
p,omp,16,dynamic,NA,1,3,3307.377030,58.465,NA
p,omp,16,dynamic,NA,2,3,3307.377030,40.335,NA
p,omp,16,dynamic,NA,3,3,3307.377030,39.684,NA
p,omp,16,dynamic,NA,4,3,3307.377030,46.457,NA
p,omp,16,dynamic,NA,5,3,3307.377030,45.200,NA
p,omp,16,dynamic,NA,0,NA,NA,NA,45.200
m,omp,1,static,NA,1,3,33447.299806,1.892,NA
m,omp,1,static,NA,2,3,33447.299806,1.965,NA
m,omp,1,static,NA,3,3,33447.299806,1.968,NA
m,omp,1,static,NA,4,3,33447.299806,2.053,NA
m,omp,1,static,NA,5,3,33447.299806,2.059,NA
m,omp,1,static,NA,0,NA,NA,NA,1.968
m,omp,2,static,NA,1,3,33447.299806,2.835,NA
m,omp,2,static,NA,2,3,33447.299806,2.683,NA
