dataset,threads,schedule,chunk,median_ms,speedup
p,16.0,dynamic,64.0,46.796,0.0021369347807504917
p,1.0,dynamic,NA,0.757,0.13210039630118892
p,2.0,dynamic,NA,2.454,0.040749796251018745
p,4.0,dynamic,NA,2.551,0.03920031360250882
p,8.0,dynamic,NA,2.265,0.04415011037527594
p,16.0,dynamic,NA,46.767,0.002138259884106314
p,1.0,static,1.0,0.131,0.7633587786259542
p,2.0,static,1.0,0.935,0.10695187165775401
p,4.0,static,1.0,0.766,0.13054830287206268
p,8.0,static,1.0,0.872,0.11467889908256881
p,16.0,static,1.0,39.502,0.0025315173915244796
p,1.0,static,1024.0,0.123,0.8130081300813009
p,2.0,static,1024.0,0.57,0.1754385964912281
p,4.0,static,1024.0,0.648,0.15432098765432098
p,8.0,static,1024.0,0.668,0.1497005988023952
p,16.0,static,1024.0,45.978,0.002174953238505372
p,1.0,static,256.0,0.126,0.7936507936507937
p,2.0,static,256.0,0.725,0.13793103448275862
p,4.0,static,256.0,0.548,0.18248175182481752
p,8.0,static,256.0,0.692,0.14450867052023122
p,16.0,static,256.0,45.673,0.0021894773717513628
p,1.0,static,64.0,0.126,0.7936507936507937
p,2.0,static,64.0,0.781,0.12804097311139565
p,4.0,static,64.0,0.567,0.17636684303350972
p,8.0,static,64.0,0.755,0.13245033112582782
p,16.0,static,64.0,40.123,0.00249233606659522
p,1.0,static,NA,0.132,0.7575757575757576
p,2.0,static,NA,0.817,0.12239902080783355
p,4.0,static,NA,0.586,0.17064846416382254
p,8.0,static,NA,0.759,0.13175230566534915
p,16.0,static,NA,45.792,0.002183787561146052
