dataset,threads,schedule,chunk,median_ms,speedup
p,16,static,1.0,44.889,0.0022277172581255987
p,1,static,1024.0,0.122,0.819672131147541
p,2,static,1024.0,0.761,0.1314060446780552
p,4,static,1024.0,0.617,0.1620745542949757
p,8,static,1024.0,0.672,0.1488095238095238
p,16,static,1024.0,40.223,0.0024861397707779133
p,1,static,256.0,0.126,0.7936507936507937
p,2,static,256.0,0.782,0.1278772378516624
p,4,static,256.0,0.579,0.17271157167530227
p,8,static,256.0,0.695,0.14388489208633096
p,16,static,256.0,44.917,0.0022263285615691164
p,1,static,64.0,0.123,0.8130081300813009
p,2,static,64.0,0.76,0.13157894736842105
p,4,static,64.0,0.472,0.21186440677966104
p,8,static,64.0,0.686,0.1457725947521866
p,16,static,64.0,40.386,0.0024761055811419797
p,1,static,NA,0.125,0.8
p,2,static,NA,0.729,0.13717421124828533
p,4,static,NA,0.637,0.15698587127158556
p,8,static,NA,0.739,0.13531799729364005
p,16,static,NA,40.357,0.002477884877468593
